
Company Name,Address,City,State,Zip,Phone,Email,Website,Description,Representatives,Date Contacted,Contact Method
GLSEN NEO,,,,,,,,"AboutGLSEN Northeast Ohio is a chapter of GLSEN, a national organization fighting for every student’s right to a safe, supportive education. GLSEN Northeast Ohio is a grassroots initiative, working locally in our community to ensure safe schools for all students, regardless of sexual orientation and gender identity.",,,
GLSEN NEO,,,,,,,,"AboutGLSEN Northeast Ohio is a chapter of GLSEN, a national organization fighting for every student’s right to a safe, supportive education. GLSEN Northeast Ohio is a grassroots initiative, working locally in our community to ensure safe schools for all students, regardless of sexual orientation and gender identity.",,,
Greater Cleveland Partnership,,,,,,careers@greatercle.com,,"AboutSupporting our businesses and community through initiatives that support a great region to work, live and play.",,,
Giardina Capital Management,16300 Delaware Ave,Lakewood,OH,44107,216-712-6749,miriam@giardinacapitalmanagement.com,giardinacapitalmanagement.com,AboutGiardina Capital Management in alliance with Equitable Advisors,,2025-11-29,Email
Giant Eagle Inc,,,,,,,,"AboutTo us, Giant Eagle is more than just a supermarket.After more than 80 years in the grocery business we still see ourselves as the local neighborhood grocery store—where quality food meets incredible",,,
Goodwill Industries of Greater Cleveland and East Central Ohio,,,,,,,,"AboutGoodwill empowers people on their journey to independence through the sale of goods, which supports employment programs and family services in the greater Cleveland and East Central Ohio region.",,,
Gina Nicola Enterprises,,,,,,,,"AboutGina Nicola EnterprisesUnlocksGuidesActivatesTransformsWhether it’s unlocking potential, improving performance, or fostering growth, we propel people and teams to reach exponential growth and achievement through customized optimal performance engagements.",,,
Helene Can Help LLC,,,,,,,,"AboutHelene Can Help LLC empowers millennial women to reclaim confidence, master decision-making, and overcome barriers through transformative coaching, authentic communication, and actionable strategies.",,,
Hospice of the Western Reserve,,,,,,,,"AboutHospice of the Western Reserve is one of the largest hospice and palliative care programs in the country, and the oldest in the Greater Cleveland area. Our services are available 24/7.",,,
Business and Member Directory Search,,,,,,,,,,,
Hyland,,,,,,,,"AboutThe individuality of each Hylander is what makes us who we are. It takes the unique perspective of each employee to continue our success, growth and global impact. Our workforce is made up of hard workers with a startup mindset, who know the value of genuine connection, collaboration and respect. Our philosophy is based on the belief that a positive, inclusive workplace is imperative to sustainable success.",,,
HOLISTIC LAKEWOOD,,,,,,,,"AboutHealth and wellness center dedicated to serving ALL in our community in a welcoming and judgment free environment.Holistic Lakewood is focused on providing high-quality service and customer satisfaction. We offer a variety of services, including Massage Therapy, Manual Lymphatic Drainage (MLD), Reiki, Reflexology, and more!We’re not the typical massage place where you get a soft robe and a glass of wine. We’re the place for people suffering with physical pain, stress, anxiety, and more. Whe",,,
Hispanic Business Center,,,,,,,,"AboutIn 1996, the Northeast Ohio Hispanic Chamber of Commerce created an educational and economic 501(c)(3) organization called the Northeast Ohio Hispanic Center for Economic Development (HBC or the “Center”). The Center dedicates its efforts to helping individuals start and grow their businesses while encouraging their economic development and supporting them through business programs and services.",,,
Howling Print & Promo,,,,,,,,"AboutLGBT owned and operated Print, Promotional Products, and Apparel company based in the Greater Cleveland Area. We are a full service advertising specialties company offering a wide range of promotional items to promote your company.We can assist your marketing objectives with these quality programs:- Corporate recognition programs- Premiums and Incentives Sales- Trade Show Programs- Safety Programs- Service Awards- Employee Recognition- Product Introductions- Business Gifts- Sport Tournament",,,
Howling Print & Promo,,,,,,,,"AboutLGBT owned and operated Print, Promotional Products, and Apparel company based in the Greater Cleveland Area. We are a full service advertising specialties company offering a wide range of promotional items to promote your company.We can assist your marketing objectives with these quality programs:- Corporate recognition programs- Premiums and Incentives Sales- Trade Show Programs- Safety Programs- Service Awards- Employee Recognition- Product Introductions- Business Gifts- Sport Tournament",,,
Huntington Bank,,,,,,,,,,,
Haus of Transcendent,,,,,,,,"AboutCreating an accessible, vibrant, and healthy community for ALL by addressing the social drivers of health.",,,
HJSM Technology LLC,,,,,,,,AboutReseller of computer and communications hardware and software.  Provider of technology services.,,,
Hearing Science,,,,,,,,"AboutAudiology private practice in Westlake, Ohio, specializing in prevention and treatment of hearing loss and tinnitus. Hearing Science is an inclusive, patient-centered practice that uses evidence-based treatment and fitting methods. Whether you are here for hearing protection to prevent hearing loss, or you're looking for the most appropriate options to improve day-to-day communication, we'll work with you to create a thoughtful treatment plan.",,,
HOLISTIC LAKEWOOD,,,,,,,,"AboutHealth and wellness center dedicated to serving ALL in our community in a welcoming and judgment free environment.Holistic Lakewood is focused on providing high-quality service and customer satisfaction. We offer a variety of services, including Massage Therapy, Manual Lymphatic Drainage (MLD), Reiki, Reflexology, and more!We’re not the typical massage place where you get a soft robe and a glass of wine. We’re the place for people suffering with physical pain, stress, anxiety, and more. Whe",,,
Hearing Science,,,,,,,,"AboutAudiology private practice in Westlake, Ohio, specializing in prevention and treatment of hearing loss and tinnitus. Hearing Science is an inclusive, patient-centered practice that uses evidence-based treatment and fitting methods. Whether you are here for hearing protection to prevent hearing loss, or you're looking for the most appropriate options to improve day-to-day communication, we'll work with you to create a thoughtful treatment plan.",,,
